name,ep_r,total_infections,total_test_num,total_quara_num,total_control_cost,score,score_avg,avg_zone_score
certain_without_response_distribution,-845.2901611328125,29108.78125,8477383.0,27673.302734375,133640.59375,24670902.0,16592115.0,4009532928.0
uncertain_without_response_distribution,-498485.59375,17451454.0,22444384.0,2395601.75,2676156.5,inf,inf,inf
certain_with_response_distribution,-21.63260269165039,617.8171997070312,1550208.0,592.5888671875,19970.189453125,3.1918423175811768,3.1918411254882812,907.5449829101562
uncertain_with_response_distribution,-166.34364318847656,4929.984375,11577802.0,4266.58349609375,148989.109375,2138595968.0,87.12373352050781,434396079325184.0
