name,ep_r,total_infections,total_test_num,total_quara_num,total_control_cost,score,score_avg,avg_zone_score
certain_without_response_distribution,-50.68412399291992,1881.021484375,938.7815551757812,1455.56494140625,1467.2998046875,3.970667600631714,3.970667839050293,1034.4464111328125
uncertain_without_response_distribution,-333078.59375,10624875.0,1698991.0,2358799.75,2380037.0,inf,inf,inf
certain_with_response_distribution,-8.592971801757812,331.34588623046875,517249.1875,311.4527893066406,6777.06787109375,2.421844959259033,2.421844959259033,759.9407348632812
uncertain_with_response_distribution,-241.98814392089844,6852.5361328125,12344978.0,4753.87841796875,159066.109375,698.7660522460938,143.97926330566406,438045.21875
