step,reward,seed,drd
19200,-1235.9649658203125,6191,无责任分发
21600,-498683.0625,6191,无责任分发
24000,-832.3811645507812,6191,无责任分发
26400,-2684.548828125,6191,无责任分发
28800,-1100.7314453125,6191,无责任分发
31200,-858.7099609375,6191,无责任分发
33600,-1173.8126220703125,6191,无责任分发
36000,-2732.138671875,6191,无责任分发
38400,-331.9733581542969,6191,无责任分发
40800,-264.2729187011719,6191,无责任分发
43200,-276.45068359375,6191,无责任分发
45600,-591.0643920898438,6191,无责任分发
48000,-401.8814697265625,6191,无责任分发
0,-406685.375,6191,有责任分发
2400,-28.233692169189453,6191,有责任分发
4800,-24.412845611572266,6191,有责任分发
7200,-26.932287216186523,6191,有责任分发
9600,-23.509485244750977,6191,有责任分发
12000,-32.42502212524414,6191,有责任分发
14400,-29.64072036743164,6191,有责任分发
16800,-21.702167510986328,6191,有责任分发
19200,-22.350248336791992,6191,有责任分发
21600,-22.738901138305664,6191,有责任分发
24000,-24.514768600463867,6191,有责任分发
26400,-21.228830337524414,6191,有责任分发
28800,-23.23332977294922,6191,有责任分发
31200,-23.043811798095703,6191,有责任分发
33600,-21.986751556396484,6191,有责任分发
36000,-22.363277435302734,6191,有责任分发
38400,-21.892759323120117,6191,有责任分发
40800,-20.77991485595703,6191,有责任分发
43200,-22.541410446166992,6191,有责任分发
45600,-23.1508846282959,6191,有责任分发
48000,-20.238126754760742,6191,有责任分发
0,-84.60249328613281,6734,无责任分发
2400,-37.87081527709961,6734,无责任分发
4800,-225.1576385498047,6734,无责任分发
7200,-128.73692321777344,6734,无责任分发
9600,-451779.8125,6734,无责任分发
12000,-488967.8125,6734,无责任分发
14400,-495692.34375,6734,无责任分发
16800,-492510.0,6734,无责任分发
19200,-496168.46875,6734,无责任分发
21600,-104827.1953125,6734,无责任分发
24000,-18720.791015625,6734,无责任分发
26400,-871.2724609375,6734,无责任分发
28800,-364.1247253417969,6734,无责任分发
31200,-659.9938354492188,6734,无责任分发
33600,-477.6856994628906,6734,无责任分发
36000,-550.3944091796875,6734,无责任分发
38400,-497.1611022949219,6734,无责任分发
40800,-397.9901428222656,6734,无责任分发
43200,-396.7961120605469,6734,无责任分发
45600,-435.27056884765625,6734,无责任分发
48000,-438.1460876464844,6734,无责任分发
0,-93.43128204345703,6734,有责任分发
2400,-23.98880386352539,6734,有责任分发
4800,-25.464754104614258,6734,有责任分发
7200,-24.872011184692383,6734,有责任分发
9600,-27.42266845703125,6734,有责任分发
12000,-24.627222061157227,6734,有责任分发
14400,-24.36130714416504,6734,有责任分发
16800,-22.32975196838379,6734,有责任分发
19200,-21.296533584594727,6734,有责任分发
21600,-20.094383239746094,6734,有责任分发
24000,-24.516746520996094,6734,有责任分发
26400,-22.974594116210938,6734,有责任分发
28800,-25.20865821838379,6734,有责任分发
31200,-21.47627067565918,6734,有责任分发
33600,-21.500822067260742,6734,有责任分发
36000,-19.19258689880371,6734,有责任分发
38400,-18.787023544311523,6734,有责任分发
40800,-20.817520141601562,6734,有责任分发
43200,-24.53873634338379,6734,有责任分发
45600,-22.03972816467285,6734,有责任分发
48000,-22.375038146972656,6734,有责任分发
0,-27.74342155456543,7265,无责任分发
2400,-194.3079071044922,7265,无责任分发
4800,-312143.0625,7265,无责任分发
7200,-959.7184448242188,7265,无责任分发
9600,-487.391357421875,7265,无责任分发
12000,-261.78375244140625,7265,无责任分发
14400,-813.98583984375,7265,无责任分发
16800,-479.71807861328125,7265,无责任分发
19200,-1175.276611328125,7265,无责任分发
21600,-1325.6004638671875,7265,无责任分发
24000,-629.5038452148438,7265,无责任分发
26400,-524.2620239257812,7265,无责任分发
28800,-812.4171752929688,7265,无责任分发
31200,-892.24609375,7265,无责任分发
33600,-1134.8387451171875,7265,无责任分发
36000,-571.1555786132812,7265,无责任分发
38400,-513.179443359375,7265,无责任分发
40800,-498.5732421875,7265,无责任分发
43200,-709.3775634765625,7265,无责任分发
45600,-560.6962280273438,7265,无责任分发
48000,-569.9152221679688,7265,无责任分发
0,-36.12823486328125,7265,有责任分发
2400,-30.190637588500977,7265,有责任分发
4800,-33.386512756347656,7265,有责任分发
