step,reward,seed,drd
38400,-9.74314022064209,6191,有责任分发
40800,-9.03048038482666,6191,有责任分发
43200,-9.81974983215332,6191,有责任分发
45600,-9.394413948059082,6191,有责任分发
48000,-7.795573711395264,6191,有责任分发
0,-74.41031646728516,6734,无责任分发
2400,-9.051411628723145,6734,无责任分发
4800,-11.385470390319824,6734,无责任分发
7200,-10.51779842376709,6734,无责任分发
9600,-11.242289543151855,6734,无责任分发
12000,-12.450068473815918,6734,无责任分发
14400,-10.905664443969727,6734,无责任分发
16800,-12.583630561828613,6734,无责任分发
19200,-30.29571533203125,6734,无责任分发
21600,-11.309608459472656,6734,无责任分发
24000,-10.692912101745605,6734,无责任分发
26400,-10.506418228149414,6734,无责任分发
28800,-11.1756010055542,6734,无责任分发
31200,-13.457003593444824,6734,无责任分发
33600,-11.665998458862305,6734,无责任分发
36000,-10.66704273223877,6734,无责任分发
38400,-10.724078178405762,6734,无责任分发
40800,-12.32229995727539,6734,无责任分发
43200,-11.438108444213867,6734,无责任分发
45600,-12.283248901367188,6734,无责任分发
48000,-16.323490142822266,6734,无责任分发
0,-78.98150634765625,6734,有责任分发
2400,-10.26024341583252,6734,有责任分发
4800,-8.845277786254883,6734,有责任分发
7200,-10.005316734313965,6734,有责任分发
9600,-11.181279182434082,6734,有责任分发
12000,-9.86325740814209,6734,有责任分发
14400,-9.2719087600708,6734,有责任分发
16800,-9.315009117126465,6734,有责任分发
19200,-8.695205688476562,6734,有责任分发
21600,-8.432985305786133,6734,有责任分发
24000,-11.07038688659668,6734,有责任分发
26400,-9.458617210388184,6734,有责任分发
28800,-11.478606224060059,6734,有责任分发
31200,-10.451018333435059,6734,有责任分发
33600,-9.665202140808105,6734,有责任分发
36000,-8.326309204101562,6734,有责任分发
38400,-8.296765327453613,6734,有责任分发
40800,-8.992349624633789,6734,有责任分发
43200,-10.715240478515625,6734,有责任分发
45600,-9.112614631652832,6734,有责任分发
48000,-9.605302810668945,6734,有责任分发
0,-12.070352554321289,7265,无责任分发
2400,-8.37303638458252,7265,无责任分发
4800,-14.215860366821289,7265,无责任分发
7200,-14.156834602355957,7265,无责任分发
9600,-15.987797737121582,7265,无责任分发
12000,-17.036558151245117,7265,无责任分发
14400,-15.709640502929688,7265,无责任分发
16800,-13.438394546508789,7265,无责任分发
19200,-12.755030632019043,7265,无责任分发
21600,-11.413512229919434,7265,无责任分发
24000,-12.405781745910645,7265,无责任分发
26400,-12.850607872009277,7265,无责任分发
28800,-13.323382377624512,7265,无责任分发
31200,-9.68565845489502,7265,无责任分发
33600,-8.578893661499023,7265,无责任分发
36000,-11.051752090454102,7265,无责任分发
38400,-11.478243827819824,7265,无责任分发
40800,-13.476114273071289,7265,无责任分发
43200,-11.67689037322998,7265,无责任分发
45600,-11.674696922302246,7265,无责任分发
48000,-10.167326927185059,7265,无责任分发
0,-16.374296188354492,7265,有责任分发
2400,-12.360610961914062,7265,有责任分发
4800,-9.391322135925293,7265,有责任分发
7200,-9.480445861816406,7265,有责任分发
9600,-9.442893981933594,7265,有责任分发
12000,-8.26014232635498,7265,有责任分发
14400,-9.956297874450684,7265,有责任分发
16800,-8.923354148864746,7265,有责任分发
19200,-10.808966636657715,7265,有责任分发
21600,-8.827957153320312,7265,有责任分发
24000,-8.973893165588379,7265,有责任分发
26400,-9.893681526184082,7265,有责任分发
28800,-9.867718696594238,7265,有责任分发
31200,-9.009475708007812,7265,有责任分发
33600,-9.504524230957031,7265,有责任分发
36000,-9.240229606628418,7265,有责任分发
38400,-8.817278861999512,7265,有责任分发
40800,-9.350760459899902,7265,有责任分发
43200,-8.837099075317383,7265,有责任分发
45600,-9.513077735900879,7265,有责任分发
48000,-8.075441360473633,7265,有责任分发
0,-10.636301040649414,1466,无责任分发
2400,-7.395636081695557,1466,无责任分发
4800,-11.112425804138184,1466,无责任分发
