anal_idx,infection_region_ratio,known_cnt,pearson_r,p_value,mse,r2
1,0.1,60.0,0.7710197567939758,0.0,0.09739351272583008,0.42783600091934204
1,0.2,121.0,0.8200376033782959,0.0,0.08060464262962341,0.5208814144134521
1,0.3,182.0,0.8358830809593201,0.0,0.07531822472810745,0.5487762689590454
1,0.4,243.0,0.844419538974762,0.0,0.07151855528354645,0.5663245320320129
1,0.5,304.0,0.848843514919281,0.0,0.06936491280794144,0.5743512511253357
1,0.6,364.0,0.8504984378814697,0.0,0.06569795310497284,0.5825859904289246
1,0.7,425.0,0.8506971597671509,0.0,0.06146477535367012,0.5884695053100586
1,0.8,486.0,0.849781334400177,7.064169766415695e-40,0.05499731004238129,0.5954342484474182
1,0.9,547.0,0.8551744818687439,1.2094173808808006e-20,0.04247249662876129,0.6159237027168274
5,0.1,65.0,0.9250447154045105,0.0,0.25914767384529114,0.7146620154380798
5,0.2,130.0,0.956828773021698,0.0,0.153609499335289,0.8310346007347107
5,0.3,195.0,0.9677615165710449,0.0,0.11691923439502716,0.8706885576248169
5,0.4,261.0,0.9735032916069031,0.0,0.09838233143091202,0.89019775390625
5,0.5,326.0,0.9767447710037231,0.0,0.08985155820846558,0.9000983238220215
5,0.6,391.0,0.9788461327552795,0.0,0.08303546905517578,0.9071237444877625
5,0.7,457.0,0.9807756543159485,0.0,0.0774039477109909,0.9133592247962952
5,0.8,522.0,0.9822258949279785,0.0,0.07295642048120499,0.9186428189277649
5,0.9,587.0,0.9828646779060364,3.745670795140236e-42,0.06932608783245087,0.9208717942237854
10,0.1,65.0,0.9490614533424377,0.0,4.567419052124023,0.7907584309577942
10,0.2,130.0,0.9762797355651855,0.0,1.9682402610778809,0.9098865389823914
10,0.3,196.0,0.9844396114349365,0.0,1.2266448736190796,0.9438478946685791
10,0.4,261.0,0.9895597100257874,0.0,0.8170605301856995,0.9623252749443054
10,0.5,327.0,0.9931145310401917,0.0,0.5704366564750671,0.9736758470535278
10,0.6,392.0,0.9951149821281433,0.0,0.44955679774284363,0.9795398712158203
10,0.7,457.0,0.9963228106498718,0.0,0.3671654164791107,0.9830354452133179
10,0.8,523.0,0.9971436262130737,0.0,0.3287971615791321,0.9851003885269165
10,0.9,588.0,0.9979906678199768,0.0,0.26875540614128113,0.9876965880393982
20,0.1,65.0,0.9523503184318542,0.0,5315.60986328125,0.7993110418319702
20,0.2,130.0,0.9783722162246704,0.0,2135.180908203125,0.9193872213363647
20,0.3,196.0,0.9861167669296265,0.0,1256.3201904296875,0.9525262713432312
20,0.4,261.0,0.9910544753074646,0.0,779.1136474609375,0.9703056812286377
20,0.5,327.0,0.9944669604301453,0.0,494.69976806640625,0.9811115860939026
20,0.6,392.0,0.9963142275810242,0.0,356.2892150878906,0.9865902662277222
20,0.7,457.0,0.997531533241272,0.0,260.52166748046875,0.9900578856468201
20,0.8,523.0,0.9984081387519836,0.0,204.7803497314453,0.9923515319824219
20,0.9,588.0,0.9991775751113892,0.0,137.60806274414062,0.9947123527526855
50,0.1,65.0,0.9527140855789185,0.0,2147439.75,0.8000580072402954
50,0.2,130.0,0.9785864949226379,0.0,857587.6875,0.9201481342315674
50,0.3,196.0,0.9862464070320129,0.0,503115.28125,0.9531078338623047
50,0.4,261.0,0.9911412000656128,0.0,310890.46875,0.9707709550857544
50,0.5,327.0,0.9945371150970459,0.0,196183.34375,0.9815211296081543
50,0.6,392.0,0.9963748455047607,0.0,140311.046875,0.9869714379310608
50,0.7,457.0,0.9975982904434204,0.0,101443.671875,0.9904485940933228
50,0.8,523.0,0.998482882976532,0.0,78369.7890625,0.9927741289138794
50,0.9,588.0,0.9992403388023376,0.0,51499.59375,0.9950978755950928
80,0.1,65.0,0.9527129530906677,0.0,248.63534545898438,0.8000556230545044
80,0.2,130.0,0.9785860180854797,0.0,99.29666137695312,0.9201446771621704
80,0.3,196.0,0.9862461686134338,0.0,58.25498962402344,0.9531047940254211
80,0.4,261.0,0.991141140460968,0.0,35.99852752685547,0.9707682728767395
80,0.5,327.0,0.9945371150970459,0.0,22.717266082763672,0.9815186858177185
80,0.6,392.0,0.9963748455047607,0.0,16.248123168945312,0.9869691729545593
80,0.7,457.0,0.9975983500480652,0.0,11.747908592224121,0.9904463291168213
80,0.8,523.0,0.9984830617904663,0.0,9.076452255249023,0.9927720427513123
80,0.9,588.0,0.9992403388023376,0.0,5.965203285217285,0.9950958490371704
110,0.1,65.0,0.9523513317108154,0.0,0.026164941489696503,0.7983160614967346
110,0.2,130.0,0.9783830046653748,0.0,0.01062086597084999,0.9181476831436157
110,0.3,196.0,0.9861041307449341,0.0,0.006310185417532921,0.951337993144989
110,0.4,261.0,0.9910475015640259,0.0,0.003948730416595936,0.969292163848877
110,0.5,327.0,0.9944736361503601,0.0,0.002541476394981146,0.9802135229110718
110,0.6,392.0,0.9963245987892151,0.0,0.0018632804276421666,0.9857059717178345
110,0.7,457.0,0.9975506663322449,0.0,0.0013809468364343047,0.9892575740814209
110,0.8,523.0,0.9984400868415833,0.0,0.0011051716282963753,0.9915931820869446
110,0.9,588.0,0.9992120862007141,0.0,0.0007623194251209497,0.9940704107284546
