name,predict_total_effect,predict_slice_effect,ep_r,total_infections,total_test_num,total_quara_num,total_control_cost,score,score_avg,avg_zone_score
Certain,16.258682250976562,0.22229048609733582,-21.629596710205078,617.6749877929688,1550463.5,592.4532470703125,19973.244140625,3.191880941390991,3.1918797492980957,907.8854370117188
Uncertain,71.30055236816406,0.20409515500068665,-157.52134704589844,4534.34912109375,11751187.0,3919.12109375,150808.984375,1091.694091796875,87.5020751953125,223152160.0
ode_formula,24.250205993652344,0.5625641345977783,-26.17888069152832,550.7470092773438,4787850.0,523.109375,60371.23046875,7.01430082321167,6.976220607757568,917.5785522460938
idw,32.34087371826172,0.5856049060821533,-30.389997482299805,662.8394165039062,6779306.0,617.5781860351562,85358.8984375,13.116117477416992,12.904382705688477,941.51513671875
gnn_gru_ordinary,43.302284240722656,0.10026806592941284,-56.94246292114258,1798.26318359375,6347124.5,1593.998046875,80933.046875,13.000811576843262,12.878227233886719,1063.9765625
gnn_gru_agent,13.190983772277832,0.021277403458952904,-26.183393478393555,592.1585083007812,3276037.75,541.2603149414062,41491.73046875,4.688986301422119,4.672523498535156,913.9697265625
gnn_gru_random,29.08167839050293,0.11283595114946365,-26.152339935302734,551.4536743164062,4846859.0,523.7476806640625,61109.48046875,7.126938819885254,7.096221923828125,916.959716796875
gnn_gru_with_action,13.141317367553711,0.02129358984529972,-27.833478927612305,576.7071533203125,3133373.0,529.3809814453125,39696.54296875,4.499241352081299,4.496791362762451,902.7400512695312
rl_train_in_imperfect_obs,79.67790222167969,0.22007699310779572,-147.68341064453125,4574.9404296875,12081104.0,3953.405029296875,154967.21875,445.9276428222656,97.16670989990234,102336.390625
gnn_gru_e2e,10.826713562011719,0.024525964632630348,-22.718090057373047,494.2939758300781,3256305.25,457.0627136230469,41160.87890625,4.579518795013428,4.5655412673950195,883.6403198242188
