name,predict_total_effect,predict_slice_effect,ep_r,total_infections,total_test_num,total_quara_num,total_control_cost,score,score_avg,avg_zone_score
Certain,16.04946517944336,0.22229048609733582,-21.249059677124023,604.8262329101562,1607433.875,580.493896484375,20673.41796875,3.2171990871429443,3.2171990871429443,905.7525634765625
Uncertain,83.22920989990234,0.20393884181976318,-161.57012939453125,4814.94775390625,9592402.0,4189.7265625,124094.75,4384.67529296875,50.23250198364258,509482944.0
ode_formula,24.193880081176758,0.5628997087478638,-26.13140106201172,551.5601806640625,4819646.5,527.3381958007812,60772.9140625,7.088823318481445,7.041536808013916,927.7216796875
idw,31.326417922973633,0.5861650109291077,-29.677188873291016,641.9171752929688,7036361.0,600.4024658203125,88554.921875,14.911684036254883,13.980633735656738,943.949951171875
gnn_gru_ordinary,21.264259338378906,0.07986170053482056,-34.24056625366211,948.1672973632812,5241193.0,852.49951171875,66367.40625,8.485907554626465,8.372269630432129,942.8070678710938
gnn_gru_agent,21.038633346557617,0.030575117096304893,-28.904653549194336,615.5137939453125,4101463.0,574.1757202148438,51842.45703125,5.833249568939209,5.815932273864746,964.8731689453125
gnn_gru_random,18.236249923706055,0.12532886862754822,-26.43601417541504,558.6995239257812,4699331.0,531.8989868164062,59273.53515625,6.822628021240234,6.809439659118652,926.3460083007812
gnn_gru_with_action,20.58612060546875,0.04521498084068298,-27.968441009521484,593.4908447265625,3918705.25,555.4115600585938,49539.22265625,5.519839763641357,5.518427848815918,948.0084228515625
rl_train_in_imperfect_obs,81.05866241455078,0.21841955184936523,-133.62088012695312,4203.2236328125,10001669.0,3654.993896484375,128675.84375,275.0992431640625,50.45507049560547,95534.71875
gnn_gru_e2e,13.850037574768066,0.040582336485385895,-25.679853439331055,572.6727294921875,4133890.5,513.5307006835938,52187.16015625,5.892487525939941,5.825052261352539,893.1513061523438
