name,predict_total_effect,predict_slice_effect,ep_r,total_infections,total_test_num,total_quara_num,total_control_cost,score,score_avg,avg_zone_score
Certain,16.260082244873047,0.2222815304994583,-21.63260269165039,617.8171997070312,1550208.0,592.5888671875,19970.189453125,3.1918423175811768,3.1918411254882812,907.5449829101562
Uncertain,78.2842025756836,0.20363208651542664,-166.34364318847656,4929.984375,11577802.0,4266.58349609375,148989.109375,2138595968.0,87.12373352050781,434396079325184.0
ode_formula,24.4969482421875,0.5676634311676025,-26.01911163330078,548.6849975585938,4868921.5,521.6031494140625,61383.1171875,7.170469284057617,7.138974666595459,918.8695678710938
idw,32.633724212646484,0.5931848287582397,-30.174678802490234,652.9197998046875,6737778.0,609.674072265625,84831.8984375,12.906782150268555,12.725198745727539,948.880615234375
gnn_gru_ordinary,29.760421752929688,0.08530455827713013,-50.87183380126953,1574.7469482421875,6245632.0,1391.7686767578125,79462.171875,12.317858695983887,12.128705978393555,1029.955322265625
gnn_gru_agent,13.050865173339844,0.02113514579832554,-26.065786361694336,590.2490234375,3236432.25,539.5338134765625,40994.93359375,4.6358513832092285,4.6249308586120605,911.8546752929688
gnn_gru_random,29.05891227722168,0.1118679866194725,-26.122560501098633,550.48046875,4792587.0,522.5224609375,60429.86328125,7.036443710327148,6.985406875610352,927.8440551757812
gnn_gru_with_action,13.028168678283691,0.02110874094069004,-27.6925048828125,573.4595336914062,3114717.25,526.7263793945312,39460.6953125,4.47575569152832,4.473362445831299,909.5946655273438
rl_train_in_imperfect_obs,66.04710388183594,0.22386018931865692,-125.94691467285156,3928.8740234375,11009986.0,3404.9619140625,141029.78125,230111920.0,65.53327941894531,19055612264448.0
gnn_gru_e2erebuild_gru_gnn_model_with_action,11.832326889038086,0.045019105076789856,-22.062118530273438,488.2938232421875,3273592.0,452.4976501464844,41372.3984375,4.584455966949463,4.580629825592041,869.9052734375
gnn_gru_e2erebuild_gru_gnn_model_no_action,11.144036293029785,0.02287447825074196,-26.142333984375,583.7549438476562,3399618.25,530.5659790039062,43025.79296875,4.830695152282715,4.812244415283203,915.7106323242188
