filtered_idx,longitude,latitude
0,113.90274996334037,22.5942230941145
1,113.9167520125299,22.586734667048518
2,113.90038388858572,22.58330267318043
3,113.89406702328374,22.580597673980172
4,113.90482723866484,22.578341863743457
5,113.89065735800344,22.577939268650255
6,113.88805250710227,22.57451556114946
7,113.91174864186144,22.571907045826656
8,113.88416315877078,22.57225229655152
9,113.90527038613804,22.57122865135933
10,113.89504065400408,22.571531294951896
11,113.88088653295692,22.56960125534734
12,113.87122679242209,22.560706088899657
13,113.89815051130886,22.56838719624569
14,113.8882500995183,22.56574954129704
15,113.90258390978752,22.56459983475933
16,113.89771016512975,22.56424978137083
17,113.89549025080557,22.561446457024594
18,113.90678148972557,22.560621423613156
19,113.88022997972128,22.551884426563
20,113.89250888530225,22.558659065394814
21,113.89527350722693,22.550832355077308
22,114.09695705510461,22.565335394385635
23,114.09135602581364,22.56459868872
24,114.08744419414789,22.55868668036986
25,114.0947831530381,22.56000547702848
26,114.09722478435306,22.55541859566569
27,114.08444383301149,22.554995529051332
28,114.09314481747218,22.554879611846015
29,114.00576727280945,22.539689996967997
30,113.99938919622667,22.550905640686153
31,114.0212624830932,22.557875046668276
32,113.99720650662759,22.54017563186145
33,114.00772493285596,22.544022008762678
34,114.01428269069694,22.549217277716366
35,114.0269465196342,22.548478244962514
36,114.01787628064024,22.541367831623838
37,114.03656603204553,22.536186516423367
38,114.02141660525201,22.53519850835254
39,114.00081754447118,22.532142774440697
40,114.0217292122046,22.528648822196963
41,114.01863187469723,22.52832195928246
42,114.02634672929682,22.526889412509988
43,114.03116611013816,22.525856875077825
44,114.04183614406932,22.526473109932553
45,114.01844229692414,22.521607498495882
46,114.03684808257674,22.527616339649086
47,114.03263507263651,22.520687287179584
48,114.03690183651925,22.521561579598384
49,114.03855211459715,22.519077188265292
50,114.09789344870173,22.54205887071486
51,114.09088898420514,22.542370123438616
52,114.08420792581495,22.542031331222816
53,114.09539810847009,22.541110697149808
54,114.0879988515519,22.53932462773008
55,114.08414348418864,22.539147691715073
56,114.09607456311839,22.537605625069926
57,114.08042506540822,22.53468441747842
58,114.07871271859953,22.531287881157315
59,114.09084589981123,22.539998928694498
60,114.06222948703146,22.580756094356886
61,114.02156193968626,22.575836772740935
62,114.03832192507207,22.5736750084425
63,114.06403211718991,22.573142813410854
64,114.04960599407596,22.573627316190418
65,114.0327004544187,22.57193376976617
66,114.04484708004557,22.56914932157576
67,114.05144238370087,22.569186465708963
68,114.05757947929716,22.56862125622938
69,114.01262413667372,22.56246656827915
70,114.03845377606491,22.567503681873553
71,114.03571745809377,22.564676272723524
72,114.04637581818031,22.565911134384095
73,114.05375158612031,22.580115135611795
74,114.06074571110162,22.563702836192434
75,114.05429983108903,22.56377697418894
76,114.04511745020591,22.561765618180974
77,114.03913083693732,22.559622723051017
78,114.03707360135803,22.559136762992406
79,114.05211138073437,22.5539063071231
80,114.03175694710323,22.558312236260434
81,114.04188241897094,22.55351890094918
82,114.03681115588027,22.552150551624333
83,114.05694942781018,22.54700476428266
84,114.04211569969613,22.54621178175083
85,114.03749430797764,22.545487646611814
86,114.09532543714485,22.547628389460996
87,114.0872628574167,22.54641108928581
88,114.07884261144301,22.547337651256985
89,114.07965404948023,22.553827099836557
90,114.08472243498218,22.549400492101135
91,114.07801941726278,22.566501761348054
92,114.06510866963735,22.56165081125075
93,114.07291858273094,22.561130820635398
94,114.07329051146986,22.554973237555917
95,113.90567695109378,22.74607147090057
96,113.9181091860838,22.75350887466891
97,113.93324117510954,22.735783586265242
98,113.92021224425902,22.732796556753694
99,113.95200263279746,22.725665213712247
100,113.77218403528956,22.696397522578497
101,113.79659642168689,22.70522882273138
102,113.82488389406622,22.702326893182196
103,113.8204656309853,22.693093293505296
104,113.80142581665002,22.68787262943989
105,113.786578656582,22.670658350461103
106,113.84387606574296,22.69074746765478
107,113.82576772904653,22.676875047460207
108,113.81533744306655,22.674322904598604
109,113.80186043413525,22.661067187372453
110,113.82404020007432,22.660319467201735
111,113.80888824325157,22.646923849815483
112,113.81508675070165,22.63543120926536
113,113.90868573571093,22.820198014568845
114,113.88893875392098,22.814097456261617
115,113.90485211567857,22.796355079834925
116,113.89482749237946,22.78102546144266
117,113.89098507944081,22.80048821863786
118,113.92462594048264,22.76385735204975
119,113.96582374242645,22.765448365236775
120,113.9418105081443,22.76748321945139
121,113.93765226215415,22.752211672204552
122,113.95610098967815,22.75052025577453
123,113.98205180465725,22.74158994101432
124,113.86492535309849,22.67394002090963
125,113.84204396551664,22.64754095450914
126,113.86531712767288,22.648713205242057
127,113.83627890187009,22.642603566827724
128,113.89352520448284,22.624934378125477
129,113.81813461347822,22.62695605008014
130,113.85500826626016,22.623958851586032
131,113.82172947205298,22.61909956631402
132,113.82910778222758,22.613097073730017
133,113.87880495125225,22.782624080034175
134,113.86310133610455,22.781521089767296
135,113.87535060462143,22.7701898762505
136,113.88506416367314,22.75076519408212
137,113.86777301696199,22.772784830131066
138,113.79499055085256,22.76182584566585
139,113.8070981693374,22.76073000150788
140,113.81811380445532,22.760822857526144
141,113.81297572727986,22.749282982898627
142,113.79573651629744,22.751213341609894
143,113.76870660511305,22.735959732049913
144,113.7920344196696,22.742704632876116
145,113.81442774567378,22.73516223109224
