OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID_4,OBJECTID,SQNAME,SHAPE_LENG,SQCODE,社区核,SHIBIE,街道NAME,SDFSA,SHEQU1,SHAPE_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Shape_Le_5,Shape_Area,geometry
1,1,1,1.0,1.0,布心,10754.4139944,44030601701112111--,44030601701112111--,125,4403060170001000000新安,440306017*,440306017*,10754.4141802,10754.3864711,11642.7555392,10761.918724,0.101036716078,0.000407456419902,"POLYGON ((113.91382555000007 22.602765779000038, 113.91405473000009 22.602580916000022, 113.91440115900002 22.603180162000058, 113.91486285600001 22.603978788000063, 113.91471966800009 22.605370454000024, 113.91468386000008 22.60571850300005, 113.91646003400001 22.60645508600004, 113.91828724000004 22.606193744000052, 113.91937779800003 22.605984128000046, 113.91946191300008 22.605817487000024, 113.918610779 22.604621114000054, 113.91810444600003 22.603870562000054, 113.91755246900004 22.60307610600006, 113.9171377670001 22.602396098000042, 113.91680571900008 22.601769227000034, 113.91653139700009 22.601039728000046, 113.9163398930001 22.600354737000032, 113.91616648600007 22.599695938000025, 113.91569727700005 22.597970669000063, 113.91550924400008 22.59732623900004, 113.91526962900002 22.596505015000048, 113.91501636800001 22.59564639000007, 113.91480957100009 22.59478852600006, 113.91470609200007 22.594363908000048, 113.91458309300003 22.593498785000065, 113.91465572300001 22.592610970000067, 113.91479499200011 22.59212990900005, 113.91497011500007 22.591718482000033, 113.91520033600011 22.591342483000062, 113.915525505 22.590889635000053, 113.91558108900006 22.59083565700007, 113.91530820600008 22.590632001000074, 113.91498114300009 22.59034905200008, 113.91450513300003 22.589940416000047, 113.91389247300003 22.589412053000046, 113.91368317700005 22.58924145900005, 113.91350883000007 22.58903583600005, 113.91349594000008 22.589048607000052, 113.91164566700002 22.587468541000078, 113.911606387 22.587400389000038, 113.91160420500012 22.587353032000067, 113.91146355600006 22.587370177000025, 113.91124051400004 22.587524459000065, 113.91107700300006 22.58766154400007, 113.91103188200009 22.587707135000073, 113.909846001 22.587720543000046, 113.90846654300003 22.587736129000064, 113.90841788600005 22.58769152700006, 113.90699707600004 22.58770757800005, 113.90534523800011 22.587952632000054, 113.90469255700009 22.58749718300004, 113.90477619700005 22.587407795000047, 113.9046821930001 22.587333140000055, 113.90355854300003 22.586330875000044, 113.90352044600002 22.586301784000057, 113.90287803900003 22.585811206000074, 113.90253652500007 22.58561767300006, 113.90199208400009 22.58545396200003, 113.90119837800012 22.585252983000032, 113.90117001700003 22.585245753000038, 113.89906611000004 22.58470939600005, 113.89891218200012 22.584679533000042, 113.89881705900007 22.584661079000057, 113.89879727000005 22.58467607500006, 113.89866003700001 22.584780083000055, 113.89821150900002 22.58520379400005, 113.89756772400006 22.585878524000066, 113.89742344600006 22.585953524000047, 113.89550305600005 22.58553497200006, 113.89404367200007 22.58521148500006, 113.89395836100005 22.585192574000075, 113.89253972400002 22.58487810400004, 113.89098677800007 22.584542946000056, 113.89035862900005 22.58439991800003, 113.8901591130001 22.58437850100006, 113.88936463000005 22.586060300000042, 113.8881202120001 22.58869445700003, 113.88811705100011 22.58870114700005, 113.88778090700009 22.589412667000033, 113.88668044400004 22.591741979000062, 113.88667816000009 22.593221646000075, 113.88667812300002 22.593245590000038, 113.88667658300005 22.59424234000005, 113.88667551200001 22.594935750000047, 113.887020387 22.59603530800007, 113.88702492800007 22.596049781000033, 113.88800547000005 22.59697698100007, 113.88853297100002 22.597475779000035, 113.88968779100003 22.597367817000077, 113.89072628500003 22.59727072000004, 113.89268919300002 22.596815813000035, 113.89273471600006 22.59680526300008, 113.89433265100001 22.59721882300005, 113.89435974300011 22.59722583300004, 113.89484757700006 22.59735208400008, 113.89488748000008 22.597362411000063, 113.89493745700008 22.597388394000063, 113.89634666800009 22.598121045000028, 113.8966463700001 22.598276858000077, 113.89749972300001 22.598732668000025, 113.89750444100002 22.59873519000007, 113.89834448600004 22.59918388600005, 113.89970199100003 22.60033449900004, 113.90011755 22.60076336800006, 113.9003936370001 22.601048296000045, 113.90087769500008 22.601547853000056, 113.90184409400001 22.600963097000033, 113.90245537200008 22.600593213000025, 113.90418929600003 22.600640329000043, 113.90426589300012 22.600642408000056, 113.90560706500003 22.601103341000055, 113.90599073800001 22.601235201000065, 113.90674526200007 22.601700896000068, 113.90750037500004 22.602166950000026, 113.90846617400007 22.603562314000044, 113.9095260680001 22.605058546000066, 113.90959448400008 22.605155129000025, 113.90941569000006 22.60676331800005, 113.91008293100003 22.606584446000056, 113.91122881600006 22.606277258000034, 113.91210547000003 22.605093501000056, 113.91230019500006 22.604830556000024, 113.9123588760001 22.604720120000025, 113.91307611200011 22.603370292000022, 113.91382555000007 22.602765779000038))"
2,2,2,2.0,2.0,兴东,9805.4977197,4403060170131211100,4403060170131211100,126,4403060170001000000新安,440306017*,440306017*,9805.49770322,9805.47243622,10614.9850058,9812.4391725,0.0911864798531,0.000239233285062,"POLYGON ((113.92369517500003 22.593989884000052, 113.92346551500009 22.593822137000075, 113.92326184600006 22.593701361000058, 113.92286750900007 22.59371786500003, 113.9225340270001 22.593796406000024, 113.92251906000001 22.593799932000024, 113.9223774510001 22.59381142500007, 113.9220689870001 22.593836459000045, 113.92143847000011 22.593826162000028, 113.92112718100009 22.593726223000033, 113.92105449300004 22.59370288300005, 113.92103188600004 22.593697560000066, 113.92065419900007 22.593608591000077, 113.92049309800007 22.593537725000033, 113.92023980700003 22.593426312000076, 113.9198289950001 22.59326787400005, 113.91962362600009 22.592963870000062, 113.91961737200006 22.592811055000027, 113.91970338400006 22.592630463000035, 113.91984658500007 22.592339077000076, 113.91984797500004 22.59226566800004, 113.9198493670001 22.592192259000058, 113.91971620800007 22.59195382300004, 113.91956204400003 22.591734202000055, 113.91952208400005 22.59166330900007, 113.91951822800002 22.591503612000054, 113.91952486200012 22.59146658900005, 113.91954902100008 22.591331711000066, 113.91957202900005 22.59086257000007, 113.91958243300007 22.59031360000006, 113.91951339200011 22.589961277000043, 113.91951523400007 22.589866803000064, 113.91951707100009 22.589772569000047, 113.91953573400008 22.589716483000075, 113.91957116800006 22.58960998500004, 113.91957767800011 22.589590420000036, 113.91959736800004 22.589531239000053, 113.91964337700006 22.589282960000048, 113.91967588400007 22.588972357000046, 113.91968540700009 22.588881370000024, 113.91963097400003 22.58848458800003, 113.91966055700004 22.588376521000043, 113.91976101300008 22.588161058000026, 113.91991000000007 22.58792723700003, 113.92008723900005 22.587655562000066, 113.92019720700011 22.587471863000076, 113.92020453600003 22.58745962100005, 113.9202165050001 22.58745091700007, 113.92039238500001 22.587323010000034, 113.92057797900009 22.58721618100003, 113.92060813 22.587198827000066, 113.92074788500008 22.587152122000077, 113.92109997800003 22.58703445900005, 113.92179029800002 22.586930796000047, 113.92225811700007 22.586944822000078, 113.9224904140001 22.58694861400005, 113.92261595200011 22.586950664000028, 113.92276831200002 22.586902069000075, 113.92303294800001 22.58674036800005, 113.92305878100001 22.586665852000067, 113.92312760000004 22.58646734200005, 113.92318604700006 22.58622821800003, 113.92323952400011 22.586009424000054, 113.92330583800003 22.58586480300005, 113.9233615820001 22.58574322900006, 113.92338361400004 22.585670157000038, 113.92340564900007 22.585597086000064, 113.92352001400002 22.585463756000024, 113.92367274100002 22.585362171000043, 113.92380667400005 22.585211551000043, 113.92447025600006 22.58432863400003, 113.92469081200011 22.584035173000075, 113.92468988100006 22.584020561000045, 113.9246800950001 22.583867054000052, 113.92467261500008 22.58374974000003, 113.92466605900006 22.583728207000036, 113.92457523100006 22.583429989000024, 113.92456819400002 22.583410894000053, 113.92445999000006 22.58311736400003, 113.9243055170001 22.582693075000066, 113.9242982290001 22.582673059000058, 113.924253668 22.582569936000027, 113.9241678080001 22.582371229000046, 113.9241362140001 22.582290912000076, 113.92400545200007 22.581958461000056, 113.92385077300003 22.58136052800006, 113.92350785500003 22.58082385800003, 113.92338640100002 22.580634301000032, 113.92325668500007 22.58043184400003, 113.9231263900001 22.58022190500003, 113.92288168100004 22.579751489000046, 113.92278165100004 22.579518955000026, 113.92273403800004 22.57940734400006, 113.92267709100008 22.579263255000058, 113.92256843100006 22.578961307000043, 113.92246570700001 22.57860866200008, 113.922287288 22.578051583000047, 113.92204275800009 22.57757193200007, 113.9219410720001 22.577427113000056, 113.92186363200005 22.577315014000078, 113.92168239700004 22.57710727600005, 113.9216712430001 22.577085688000068, 113.92140718000007 22.57686370600004, 113.92123680400005 22.576740680000057, 113.92050182500009 22.576297689000057, 113.91974161100006 22.575858306000043, 113.91878488100008 22.575288254000043, 113.91871196400007 22.575245068000072, 113.91817077500002 22.574924533000058, 113.9179539920001 22.57483380800005, 113.91771124200011 22.57473221300006, 113.91720070100007 22.57433513600006, 113.91705804800006 22.574206850000053, 113.91454163200001 22.576845046000074, 113.91335102400001 22.57816116400005, 113.91324049600007 22.578283343000066, 113.91202230600004 22.57962991100004, 113.9114681740001 22.580213851000053, 113.91143063300001 22.580253408000033, 113.91025848900006 22.581488578000062, 113.90859208000006 22.58324453800003, 113.90729288200009 22.584613509000064, 113.90699864900012 22.584941740000033, 113.90699631400003 22.584944345000054, 113.9050572970001 22.58710737800004, 113.90477619700005 22.587407795000047, 113.90469255700009 22.58749718300004, 113.90534523800011 22.587952632000054, 113.90699707600004 22.58770757800005, 113.90841788600005 22.58769152700006, 113.90846654300003 22.587736129000064, 113.909846001 22.587720543000046, 113.91103188200009 22.587707135000073, 113.91107700300006 22.58766154400007, 113.91124051400004 22.587524459000065, 113.91146355600006 22.587370177000025, 113.91160420500012 22.587353032000067, 113.911606387 22.587400389000038, 113.91164566700002 22.587468541000078, 113.91349594000008 22.589048607000052, 113.91350883000007 22.58903583600005, 113.91368317700005 22.58924145900005, 113.91389247300003 22.589412053000046, 113.91450513300003 22.589940416000047, 113.91498114300009 22.59034905200008, 113.91530820600008 22.590632001000074, 113.91558108900006 22.59083565700007, 113.915525505 22.590889635000053, 113.91520033600011 22.591342483000062, 113.91497011500007 22.591718482000033, 113.91479499200011 22.59212990900005, 113.91465572300001 22.592610970000067, 113.91458309300003 22.593498785000065, 113.91470609200007 22.594363908000048, 113.91480957100009 22.59478852600006, 113.91501636800001 22.59564639000007, 113.91526962900002 22.596505015000048, 113.91550924400008 22.59732623900004, 113.91569727700005 22.597970669000063, 113.91616648600007 22.599695938000025, 113.9163398930001 22.600354737000032, 113.91653139700009 22.601039728000046, 113.91680571900008 22.601769227000034, 113.9171377670001 22.602396098000042, 113.91755246900004 22.60307610600006, 113.91810444600003 22.603870562000054, 113.918610779 22.604621114000054, 113.91946191300008 22.605817487000024, 113.91937779800003 22.605984128000046, 113.91948136100007 22.60596422200007, 113.9195446650001 22.605952054000056, 113.91967614200007 22.60592678100005, 113.91967400800002 22.60590890700007, 113.91966210600003 22.60580922400004, 113.91960704900009 22.605475007000052, 113.91959784900007 22.605438139000057, 113.91957041 22.60532814900006, 113.91954542300005 22.605256411000028, 113.91950887700011 22.605151482000053, 113.91932774500003 22.604724372000078, 113.91917677300012 22.604424381000058, 113.91916818100003 22.60440730700003, 113.91915123400008 22.60436303800003, 113.91905549400008 22.60411294900007, 113.91888232800011 22.60371022700008, 113.91885915500006 22.603656338000064, 113.91872297700002 22.60326032100005, 113.91868090900005 22.60313798100003, 113.91870829900006 22.602940981000074, 113.91877973800001 22.602660074000028, 113.91879349500005 22.602605977000053, 113.91881137200005 22.602570017000062, 113.91892535000011 22.602340721000076, 113.9189765000001 22.602224071000023, 113.91906544200003 22.602021241000045, 113.91911806600001 22.601910060000023, 113.91925435100006 22.60162211900007, 113.91949193700009 22.601150661000077, 113.91976229300008 22.600613922000036, 113.91986304400007 22.600430775000063, 113.91997592300004 22.600225581000075, 113.92026936800005 22.599718470000028, 113.92048260700005 22.599283179000054, 113.92066599700001 22.598916184000075, 113.92067109400011 22.598905985000044, 113.92068227200002 22.598870004000048, 113.92078864000007 22.59852763400005, 113.92081320200009 22.598454142000037, 113.92092869100009 22.598108585000034, 113.92093085300007 22.598102117000053, 113.92093947800004 22.59808502100003, 113.92110287900005 22.597761219000063, 113.92116716800001 22.597635340000068, 113.92125844600002 22.597456617000034, 113.92135436500007 22.59724191500004, 113.92136547900009 22.597217038000053, 113.92138234700008 22.597104544000047, 113.92140157800009 22.59697630200003, 113.92137448100004 22.596741845000054, 113.9214212500001 22.596400036000034, 113.92147829200007 22.59624430300005, 113.92170860100009 22.595797754000046, 113.92178832000002 22.595701951000024, 113.9219667640001 22.595487513000023, 113.92212392200008 22.595330560000036, 113.92217570000003 22.595278850000057, 113.92220036600008 22.59526871500003, 113.92237005900006 22.595198998000058, 113.92249988600008 22.595199329000025, 113.9227133060001 22.595199872000023, 113.92314737100003 22.595182155000032, 113.92330741600006 22.595060142000023, 113.92354115400008 22.59478192200004, 113.92364154000006 22.59456642600003, 113.92365189300006 22.59447409300003, 113.92368919100011 22.594141439000055, 113.92369517500003 22.593989884000052))"
3,3,3,3.0,3.0,上合,3617.31573117,4403060170191211100,4403060170191211100,127,4403060170001000000新安,440306017*,440306017*,3617.31524169,3617.30581237,3915.77450066,3619.82993409,0.0341235869323,5.2832354447e-05,"POLYGON ((113.90699864900012 22.584941740000033, 113.90584791800006 22.583966073000056, 113.90473780800005 22.583024829000067, 113.90416466300007 22.582518381000057, 113.90400919000001 22.582380999000065, 113.90382442200007 22.58221773200006, 113.90292898900009 22.581463730000053, 113.90251950800007 22.581069755000044, 113.90242035900008 22.58098460900004, 113.90241678600012 22.58098154100003, 113.90066475200001 22.579476946000057, 113.90012681500002 22.57901497200004, 113.89960020800004 22.57856272300006, 113.89920736700003 22.578957599000034, 113.8972856690001 22.58088920700004, 113.89668430600011 22.581493656000077, 113.89606344200001 22.58211661000007, 113.89593358900004 22.582249580000052, 113.89428440200004 22.583938353000065, 113.89425557400011 22.584059934000038, 113.89400205700008 22.585129192000068, 113.89395836100005 22.585192574000075, 113.89404367200007 22.58521148500006, 113.89550305600005 22.58553497200006, 113.89742344600006 22.585953524000047, 113.89756772400006 22.585878524000066, 113.89821150900002 22.58520379400005, 113.89866003700001 22.584780083000055, 113.89879727000005 22.58467607500006, 113.89881705900007 22.584661079000057, 113.89891218200012 22.584679533000042, 113.89906611000004 22.58470939600005, 113.90117001700003 22.585245753000038, 113.90119837800012 22.585252983000032, 113.90199208400009 22.58545396200003, 113.90253652500007 22.58561767300006, 113.90287803900003 22.585811206000074, 113.90352044600002 22.586301784000057, 113.90355854300003 22.586330875000044, 113.9046821930001 22.587333140000055, 113.90477619700005 22.587407795000047, 113.9050572970001 22.58710737800004, 113.90699631400003 22.584944345000054, 113.90699864900012 22.584941740000033))"
4,4,4,4.0,4.0,上川,3268.33718265,44030601700212111--,44030601700212111--,128,4403060170001000000新安,440306017*,440306017*,3268.33705327,3268.32859493,3537.92677854,3270.59306461,0.0307230203366,5.07284960699e-05,"POLYGON ((113.89634864300001 22.575770180000063, 113.89587869400009 22.575363135000032, 113.89524972000004 22.575991465000072, 113.89409015800004 22.57715079600007, 113.89404762800007 22.57719331900006, 113.89377589000003 22.57746499700005, 113.89332869600003 22.577916866000066, 113.89320328400004 22.57804359000005, 113.89272506500004 22.57851624500006, 113.89237518000004 22.578862057000038, 113.89224884200007 22.57898698100007, 113.89224090000005 22.57899483700004, 113.89096249800002 22.58025890600004, 113.89045936600007 22.580784239000025, 113.88973564300011 22.581539891000034, 113.8892678410001 22.582028320000063, 113.88831149900011 22.58296941800006, 113.88855014900003 22.583174387000042, 113.88973472500004 22.58404606000005, 113.89016618000005 22.584363543000052, 113.8901591130001 22.58437850100006, 113.89035862900005 22.58439991800003, 113.89098677800007 22.584542946000056, 113.89253972400002 22.58487810400004, 113.89395836100005 22.585192574000075, 113.89400205700008 22.585129192000068, 113.89425557400011 22.584059934000038, 113.89428440200004 22.583938353000065, 113.89593358900004 22.582249580000052, 113.89606344200001 22.58211661000007, 113.89668430600011 22.581493656000077, 113.8972856690001 22.58088920700004, 113.89920736700003 22.578957599000034, 113.89960020800004 22.57856272300006, 113.89788798200004 22.57709223300003, 113.89634864300001 22.575770180000063))"
5,5,5,5.0,5.0,大浪,5049.26241351,44030601701212111--,44030601701212111--,129,4403060170001000000新安,440306017*,440306017*,5049.26231845,5049.249184,5465.6508859,5052.78921698,0.0474113042535,9.46010991524e-05,"POLYGON ((113.91335102400001 22.57816116400005, 113.91239741900006 22.57745366000006, 113.91140098200003 22.576714367000022, 113.9097476500001 22.575413237000078, 113.90917169800002 22.57495254500003, 113.90889103100005 22.574728047000065, 113.90882560600005 22.57464132000007, 113.90814109000007 22.575345542000036, 113.90805586700003 22.575425186000075, 113.90798337100011 22.575492938000025, 113.90755048800008 22.575897489000056, 113.90716163200011 22.576293907000036, 113.90654354300011 22.57692400600007, 113.90580393100004 22.577653206000036, 113.90580000000011 22.577649816000076, 113.90576697800009 22.577621350000072, 113.90297527000007 22.575214560000063, 113.90282647000004 22.575086273000068, 113.90123327700007 22.57371472600005, 113.90050682600008 22.57308932500007, 113.89950593300011 22.572227643000076, 113.89925091400005 22.572007607000046, 113.89906805300006 22.57217151100008, 113.89896055800011 22.572283884000058, 113.89897811100002 22.57228417300007, 113.89753313200004 22.573710667000057, 113.89723510600004 22.57400487600006, 113.89599270200006 22.57524924300003, 113.89587869400009 22.575363135000032, 113.89634864300001 22.575770180000063, 113.89788798200004 22.57709223300003, 113.89960020800004 22.57856272300006, 113.90012681500002 22.57901497200004, 113.90066475200001 22.579476946000057, 113.90241678600012 22.58098154100003, 113.90242035900008 22.58098460900004, 113.90251950800007 22.581069755000044, 113.90292898900009 22.581463730000053, 113.90382442200007 22.58221773200006, 113.90400919000001 22.582380999000065, 113.90416466300007 22.582518381000057, 113.90473780800005 22.583024829000067, 113.90584791800006 22.583966073000056, 113.90699864900012 22.584941740000033, 113.90729288200009 22.584613509000064, 113.90859208000006 22.58324453800003, 113.91025848900006 22.581488578000062, 113.91143063300001 22.580253408000033, 113.9114681740001 22.580213851000053, 113.91202230600004 22.57962991100004, 113.91324049600007 22.578283343000066, 113.91335102400001 22.57816116400005))"
6,6,6,6.0,6.0,文汇,3097.86058356,44030601700812111--,44030601700812111--,130,4403060170001000000新安,440306017*,440306017*,3097.86045851,3097.8524387,3353.32381799,3099.99046243,0.0290294026187,4.0283596841e-05,"POLYGON ((113.89309464200005 22.57293769900008, 113.89305675500009 22.57290457600004, 113.89143479400002 22.574517340000057, 113.89120912600004 22.574742102000073, 113.89024534000009 22.575702008000064, 113.88959977800005 22.576344961000075, 113.88940272700006 22.576542137000047, 113.88810896300004 22.577836712000078, 113.88774700900001 22.578198886000052, 113.88712760100009 22.578811502000065, 113.88671932200009 22.579219029000058, 113.88657601300008 22.57936206900007, 113.88599959400005 22.579937414000028, 113.8854311230001 22.580495506000034, 113.88544063300003 22.580503673000067, 113.88709393400006 22.581923688000074, 113.88809557400009 22.582783969000047, 113.88827039300008 22.582934116000047, 113.88831149900011 22.58296941800006, 113.8892678410001 22.582028320000063, 113.88973564300011 22.581539891000034, 113.89045936600007 22.580784239000025, 113.89096249800002 22.58025890600004, 113.89224090000005 22.57899483700004, 113.89224884200007 22.57898698100007, 113.89237518000004 22.578862057000038, 113.89272506500004 22.57851624500006, 113.89320328400004 22.57804359000005, 113.89332869600003 22.577916866000066, 113.89377589000003 22.57746499700005, 113.89404762800007 22.57719331900006, 113.89409015800004 22.57715079600007, 113.89524972000004 22.575991465000072, 113.89587869400009 22.575363135000032, 113.89579529200012 22.57529089700006, 113.89467479400003 22.574319037000066, 113.89437144400006 22.57405385800007, 113.89309464200005 22.57293769900008))"
7,7,7,7.0,7.0,文雅,4257.41196567,4403060170161211100,4403060170161211100,131,4403060170001000000新安,440306017*,440306017*,4257.41183465,4257.40070198,4608.35449693,4260.33265533,0.0399135959545,5.43133573351e-05,"POLYGON ((113.893576499 22.567368432000023, 113.8928983080001 22.566753204000065, 113.89281401300002 22.566843825000035, 113.88979317300004 22.570104539000056, 113.88978931600002 22.57010870000005, 113.88939746000005 22.570500503000062, 113.8881037650001 22.57179399100005, 113.88726459600002 22.57257356300005, 113.88665084900003 22.573143714000025, 113.88608416400007 22.57365644500004, 113.88570888200002 22.57399599200005, 113.88490823300003 22.57472039700008, 113.88480895400005 22.574810221000064, 113.8840612250001 22.575486702000035, 113.88385839500006 22.575670202000026, 113.88188893100005 22.577451948000032, 113.882066484 22.57760548400006, 113.88306616500006 22.578464170000075, 113.88345264200007 22.578796133000026, 113.88345865100007 22.57880129600005, 113.8854311230001 22.580495506000034, 113.88599959400005 22.579937414000028, 113.88657601300008 22.57936206900007, 113.88671932200009 22.579219029000058, 113.88712760100009 22.578811502000065, 113.88774700900001 22.578198886000052, 113.88810896300004 22.577836712000078, 113.88940272700006 22.576542137000047, 113.88959977800005 22.576344961000075, 113.89024534000009 22.575702008000064, 113.89120912600004 22.574742102000073, 113.89143479400002 22.574517340000057, 113.89305675500009 22.57290457600004, 113.89301503800004 22.572868108000023, 113.89183884600004 22.57186918800005, 113.89084370100011 22.571004514000037, 113.8908499690001 22.570994404000032, 113.89116308300004 22.570689259000062, 113.89199762200008 22.56985652000003, 113.8927364330001 22.569128729000056, 113.894124852 22.567760986000053, 113.893576499 22.567368432000023))"
8,8,8,8.0,8.0,洪浪,4100.56252998,44030601700312111--,44030601700312111--,132,4403060170001000000新安,440306017*,440306017*,4100.56282326,4100.55222828,4438.49309591,4103.4500487,0.0379869051046,5.76656685998e-05,"POLYGON ((113.91370279800003 22.57107276800008, 113.91332979200001 22.57073821700004, 113.91316473200004 22.570592435000037, 113.91315911200002 22.570587470000078, 113.91277868100008 22.57025146700005, 113.91232482500004 22.569852796000077, 113.91188163900006 22.569463494000047, 113.91179019700007 22.569383169000048, 113.911462529 22.569059331000062, 113.91122758200004 22.56881467000005, 113.91110242000002 22.56865324300003, 113.91110158800007 22.56864431500003, 113.91108731000008 22.568491288000075, 113.91111844900001 22.567933512000025, 113.91113773400002 22.567588062000027, 113.91113626900005 22.56708535000007, 113.91113533600003 22.56676548200005, 113.91113421700004 22.566381610000064, 113.91115085900003 22.565846203000035, 113.91117932300006 22.56493043300003, 113.91120380900009 22.564142595000078, 113.9111984760001 22.563645020000024, 113.91101175400001 22.56363359000005, 113.91074497200009 22.56372664400004, 113.9105303990001 22.56368722800005, 113.91025540500004 22.56363144000005, 113.91017456500003 22.563527558000033, 113.91008323400001 22.563448924000056, 113.91008019800006 22.563455372000078, 113.90804214500008 22.56552506400004, 113.90864952400011 22.56606238300003, 113.90865312100004 22.56606550400005, 113.90865521 22.566067316000044, 113.90869217400007 22.56610898100007, 113.90891725200004 22.56636188400006, 113.90897700000005 22.56653505500003, 113.90897149700004 22.56705327800006, 113.908964706 22.567692746000034, 113.90895420300001 22.568002464000074, 113.90889262300004 22.56981806300007, 113.90887886500002 22.57022381200005, 113.90885051400005 22.570652066000036, 113.90889238900002 22.57087436100005, 113.90886680000006 22.57095896900006, 113.90887792600006 22.570959068000036, 113.90887758000008 22.57097385900005, 113.90882648500008 22.573161242000026, 113.90880692300004 22.57399865900004, 113.90879545300004 22.57460135100007, 113.90882560600005 22.57464132000007, 113.90889103100005 22.574728047000065, 113.90917169800002 22.57495254500003, 113.9097476500001 22.575413237000078, 113.91140098200003 22.576714367000022, 113.91239741900006 22.57745366000006, 113.91335102400001 22.57816116400005, 113.91454163200001 22.576845046000074, 113.91705804800006 22.574206850000053, 113.91673517200002 22.573916489000055, 113.91631074200006 22.573517598000024, 113.91629336500012 22.573501270000065, 113.91629499800001 22.573500154000044, 113.91577376400005 22.57299051700005, 113.91562969300003 22.57284965100007, 113.91562082500002 22.572840996000025, 113.91550516400002 22.57272810300003, 113.91538551400004 22.572616895000067, 113.91434551700002 22.571650258000034, 113.91431361600007 22.571620608000046, 113.91399501500007 22.571334856000078, 113.91370279800003 22.57107276800008))"
9,9,9,9.0,9.0,翻身,3289.40872315,44030601701712111--,44030601701712111--,133,4403060170001000000新安,440306017*,440306017*,3289.40876945,3289.40033058,3560.52105309,3291.65406664,0.0308614467318,4.99040940428e-05,"POLYGON ((113.88665084900003 22.573143714000025, 113.88726459600002 22.57257356300005, 113.8881037650001 22.57179399100005, 113.88939746000005 22.570500503000062, 113.88978931600002 22.57010870000005, 113.88979317300004 22.570104539000056, 113.88846525000008 22.56894366000006, 113.88818771600006 22.56870600900004, 113.88728356700005 22.567931781000027, 113.88653955100006 22.56726823100007, 113.88629004500001 22.567013945000042, 113.88625264600012 22.566975830000047, 113.88544017600009 22.56777749300005, 113.88425811200011 22.568943810000064, 113.88355750400001 22.56963507100005, 113.8823081920001 22.570867693000025, 113.88220887400007 22.570895999000072, 113.88216277200002 22.570909137000058, 113.88141728500011 22.571677091000026, 113.8804780160001 22.572644651000076, 113.88043098700007 22.572693095000034, 113.88039339600004 22.572662656000034, 113.87982857400004 22.573206438000057, 113.87919910800008 22.573824563000073, 113.87851369700002 22.57453303500006, 113.87912334000009 22.57506028800003, 113.87923195700012 22.57515422700004, 113.8797147030001 22.575571727000067, 113.87975602000006 22.575607457000046, 113.88044174600009 22.57620049700006, 113.88056162600003 22.57630416300003, 113.88157829800002 22.57718333300005, 113.88187420600002 22.577439216000073, 113.88188893100005 22.577451948000032, 113.88385839500006 22.575670202000026, 113.8840612250001 22.575486702000035, 113.88480895400005 22.574810221000064, 113.88490823300003 22.57472039700008, 113.88570888200002 22.57399599200005, 113.88608416400007 22.57365644500004, 113.88665084900003 22.573143714000025))"
10,10,10,10.0,10.0,灵芝园,3744.63673956,44030601700612111--,44030601700612111--,134,4403060170001000000新安,440306017*,440306017*,3744.63682443,3744.62730268,4053.23902755,3747.25495514,0.0348009157895,7.36166621551e-05,"POLYGON ((113.90887758000008 22.57097385900005, 113.90887792600006 22.570959068000036, 113.90886680000006 22.57095896900006, 113.90889238900002 22.57087436100005, 113.90885051400005 22.570652066000036, 113.90887886500002 22.57022381200005, 113.90889262300004 22.56981806300007, 113.90895420300001 22.568002464000074, 113.908964706 22.567692746000034, 113.90897149700004 22.56705327800006, 113.90897700000005 22.56653505500003, 113.90891725200004 22.56636188400006, 113.90869217400007 22.56610898100007, 113.90865521 22.566067316000044, 113.90865312100004 22.56606550400005, 113.90864952400011 22.56606238300003, 113.90804214500008 22.56552506400004, 113.9078157350001 22.56532476600006, 113.90731133700001 22.564878539000063, 113.90713789100005 22.56469779200006, 113.90700583300008 22.564560174000064, 113.90688667800009 22.564465746000053, 113.90684532300008 22.564432976000035, 113.90680915100006 22.56446937000004, 113.90636891400004 22.564912282000023, 113.90635048700005 22.564928801000065, 113.9052613120001 22.56600437800006, 113.90495138900008 22.566300720000072, 113.90493793900009 22.566313579000052, 113.90443108000011 22.566798219000077, 113.90261125100005 22.568675073000065, 113.90215041200008 22.569101936000038, 113.90214660100003 22.569105467000043, 113.90153883700009 22.56966841600007, 113.90036867000003 22.570864965000055, 113.90014205900002 22.57109667900005, 113.89928241900009 22.57197936600005, 113.89925091400005 22.572007607000046, 113.89950593300011 22.572227643000076, 113.90050682600008 22.57308932500007, 113.90123327700007 22.57371472600005, 113.90282647000004 22.575086273000068, 113.90297527000007 22.575214560000063, 113.90576697800009 22.577621350000072, 113.90580000000011 22.577649816000076, 113.90580393100004 22.577653206000036, 113.90654354300011 22.57692400600007, 113.90716163200011 22.576293907000036, 113.90755048800008 22.575897489000056, 113.90798337100011 22.575492938000025, 113.90805586700003 22.575425186000075, 113.90814109000007 22.575345542000036, 113.90882560600005 22.57464132000007, 113.90879545300004 22.57460135100007, 113.90880692300004 22.57399865900004, 113.90882648500008 22.573161242000026, 113.90887758000008 22.57097385900005))"
