scenario,window,reference_window,metric,n,mean_difference,sample_sd,ci_low,ci_high
high,3,7,rmse_global_run,200,1.88855702525171,4.88426054543057,1.2075036254936928,2.569610425009728
high,3,7,rmse_local_day2_run,200,0.0015098129630992,0.0004165572818623,0.0014517288886795,0.001567897037519
high,3,7,C_I,200,74.88371383666993,182.3855688848844,49.45216476174225,100.3152629115976
high,3,7,N_test,200,752560.84,682511.3609143235,657392.5584555119,847729.121544488
high,3,7,N_iso,200,44.32311965942383,103.2597627677076,29.924745158918128,58.721494159929534
high,3,7,C_Q,200,9451.33365234375,8524.793395482096,8262.650233384993,10640.017071302507
high,3,7,score,200,1.1316772540499431,0.9586997355764688,0.9979977117347189,1.2653567963651673
high,14,7,rmse_global_run,200,-0.2190251661160344,2.578644533974985,-0.5785871940414458,0.1405368618093768
high,14,7,rmse_local_day2_run,200,0.0017198000237381,0.0019049186646915,0.0014541812425975,0.0019854188048788
high,14,7,C_I,200,5.411018829345704,21.58819907260705,2.400795227165653,8.421242431525755
high,14,7,N_test,200,-56134.0575,343236.5939109553,-103994.41364400476,-8273.70135599524
high,14,7,N_iso,200,2.029844818115233,12.588594165913646,0.2745115849423423,3.785178051288124
high,14,7,C_Q,200,-699.6461328125,4287.541940383298,-1297.494054302879,-101.798211322121
high,14,7,score,200,-0.0422179439982983,0.370014241113225,-0.0938121320079451,0.0093762440113484
high,21,7,rmse_global_run,200,0.6775074077196165,2.1180125159040264,0.382175164226593,0.97283965121264
high,21,7,rmse_local_day2_run,200,8.39292075991309e-05,0.0002257651119811,5.244888511605463e-05,0.0001154095300822
high,21,7,C_I,200,-7.078291931152344,13.150857113560429,-8.91202620138929,-5.244557660915397
high,21,7,N_test,200,102207.625,253707.1302261214,66831.11263417208,137584.13736582792
high,21,7,N_iso,200,-3.896920776367186,9.175376944932047,-5.176320514420355,-2.617521038314017
high,21,7,C_Q,200,1273.69822265625,3171.8871307066597,831.4154054471121,1715.981039865388
high,21,7,score,200,0.1144174691665414,0.308445322905809,0.0714083516449571,0.1574265866881256
