scenario,window,legacy_ensemble_rmse
high,3,19.718520893726144
high,7,13.05086543669162
high,14,13.359569977899024
high,21,13.781991713008733
low,3,17.4236866616281
low,7,20.042685825640653
low,14,20.00967725776753
low,21,19.75481221391581
