scenario,window,run_id,evaluation_protocol,evaluation_rng_snapshot,rmse_global_run,rmse_local_day2_run,C_I,N_test,N_iso,C_Q,score,log_score,score_overflow,legacy_ensemble_rmse,rl_window,checkpoint_sha256,actor_sha256,state_norm_sha256
high,7,0,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.43386483826755,0.02242555078457964,584.4657592773438,3126243.0,534.7965698242188,39612.8359375,4.495547317384144,1.5030874218870518,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,1,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.706208683119062,0.025720948021167336,604.5339965820312,3541510.75,550.5239868164062,44819.40625,5.008453447456348,1.6111271743187585,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,2,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.03576886668572,0.024375896486131653,603.13134765625,3243493.5,547.9722900390625,41091.640625,4.644191695927131,1.535617341176474,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,3,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,17.338651296818465,0.02537225491691715,597.46875,3625124.0,544.9376220703125,45858.98828125,5.111120133847022,1.631418584469213,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,4,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,14.34902630416677,0.022314437558847388,590.1690673828125,3037427.0,536.1919555664062,38504.02734375,4.403507810251331,1.48240145290807,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,5,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,13.913695615194628,0.026176804479443015,615.1455078125,3218690.25,560.3037109375,40793.93359375,4.626540309911055,1.5318093554996528,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,6,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,13.94485707682107,0.02345753065236344,567.5787963867188,3148931.5,523.3237915039062,39884.96875,4.506324205171212,1.5054817890825216,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,7,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.523490047203113,0.022683075448763072,572.6874389648438,3351633.75,528.4059448242188,42423.828125,4.74522331906129,1.5571384950347682,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,8,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,16.18890842403375,0.025037588404839963,690.074951171875,3778781.0,617.8359375,47852.59765625,5.404528414957725,1.6872371975081344,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,9,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,14.372759815871502,0.026553557466326854,596.6378784179688,3147865.0,548.81103515625,39897.125,4.530550120407862,1.5108433715054117,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,10,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,13.415625056842428,0.02279471369008077,558.0391845703125,3022170.75,512.0364990234375,38289.16796875,4.359670999381311,1.4723965956562828,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,11,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,13.732504987579132,0.02519543816997462,562.4749755859375,3000785.0,519.383544921875,38029.1953125,4.34108691283477,1.4681247575026037,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,12,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,14.863477406029086,0.02324379357072696,572.984619140625,3033618.25,527.2698974609375,38447.49609375,4.3849837598684855,1.4781859222525187,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,13,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,13.782158188507967,0.022967467264100244,611.116943359375,2990641.5,549.1004638671875,37932.12109375,4.371727989204726,1.4751583518199158,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,14,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,15.04023001970477,0.025312590203710926,535.85400390625,3356779.0,500.8714904785156,42460.609375,4.719882267535628,1.5517838559676513,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,15,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,14.622313465562115,0.026887181713030124,626.0542602539062,3210718.75,564.8785400390625,40698.86328125,4.626729837001814,1.5318503198479916,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
high,7,16,f858_historical_rng_aligned,C:\Users\Asus\PycharmProjects\UNCERTAIN_EPC_RL_V3\revision_outputs\revision_v8_historical_eval_aligned_window_ablation\rng_snapshots\high_pre_decoupled_eval_rng.pkl,17.090698348565876,0.02524667055205383,558.823974609375,3706000.0,520.385498046875,46845.38671875,5.186242194243241,1.646009387576942,False,13.05086543669162,3,f278eece7120d671d53811f8c19c0c335bb3e88ba0b391fa8eab12140c88be2c,be7de516b96323cbcbb9766ddc8eb0f6a1e5ec02bf6a0b0cf4761dc48b6a4cd3,631cf9dc2fd297d503022cb939793429663b550dbd8ddc9e6fe1cacb53541501
