scenario,window,metric,n,mean,sample_sd,se,ci_low,ci_high,median,iqr,score_overflow_count
high,3,rmse_global_run,100,20.837062127844415,0.7568082522718828,0.07568082522718828,20.68689495152446,20.98722930416437,20.734333416255787,1.1298502261606593,0
high,3,rmse_local_day2_run,100,0.02597487989206333,0.0017308276374982678,0.00017308276374982678,0.02563144613821695,0.026318313645909707,0.0258175245570604,0.0025102623522691263,0
high,3,C_I,100,552.499497680664,16.09893917659457,1.6098939176594569,549.3051188791134,555.6938764822147,552.7001647949219,22.483062744140625,0
high,3,N_test,100,4497085.125,198355.96785045194,19835.596785045193,4457726.997615823,4536443.252384177,4467659.25,232958.0,0
high,3,N_iso,100,524.7581228637696,13.576699908909395,1.3576699908909395,522.0642110532891,527.4520346742501,525.5521240234375,21.386245727539062,0
high,3,C_Q,100,56738.3223828125,2482.3450978106785,248.23450978106786,56245.771260555455,57230.87350506954,56359.048828125,2934.0625,0
high,3,score,100,6.437883435737195,0.3661355461554128,0.036613554615541284,6.365234200014049,6.510532671460341,6.367490081899414,0.4391873496708021,0
high,3,log_score,100,1.8606283460817636,0.056100268025661676,0.005610026802566168,1.8494968358016939,1.8717598563618334,1.851205366409188,0.0684732854878245,0
high,7,rmse_global_run,100,15.00947857717536,1.4610069379173771,0.1461006937917377,14.719583103926615,15.299374050424104,14.63255856389116,1.3676231518370336,0
high,7,rmse_local_day2_run,100,0.024430659707840183,0.0016039671371973735,0.00016039671371973735,0.024112397829511193,0.024748921586169172,0.0244707483789375,0.002440785495624577,0
high,7,C_I,100,590.2490655517578,32.205500291210946,3.2205500291210947,583.8587955907939,596.6393355127217,590.3249206542969,39.01689147949219,0
high,7,N_test,100,3236432.1975,226230.86695628718,22623.086695628717,3191543.0853830827,3281321.309616917,3179454.75,344396.625,0
high,7,N_iso,100,539.533837890625,24.227891925783332,2.422789192578333,534.7264985047791,544.341177276471,539.0750732421875,30.158187866210938,0
high,7,C_Q,100,40994.93640625,2834.6186719680604,283.46186719680605,40432.4865642518,41557.38624824821,40284.7734375,4355.23046875,0
high,7,score,100,4.635851614676065,0.2773324977935576,0.027733249779355762,4.580822830343443,4.690880399008687,4.555936274115,0.41338531177220705,0
high,7,log_score,100,1.53210242733885,0.058460818298154825,0.005846081829815482,1.5205025326722232,1.5437023220054766,1.5164300334099736,0.08962983923122647,0
high,14,rmse_global_run,100,15.645644544714521,1.5486110575599887,0.15486110575599887,15.33836651354409,15.952922575884953,15.394136531231572,1.4410461412772104,0
high,14,rmse_local_day2_run,100,0.02435026877323785,0.001739599989074716,0.0001739599989074716,0.024005094394521212,0.024695443151954488,0.0244014525538164,0.002619201520002428,0
high,14,C_I,100,578.612509765625,27.70567589990292,2.770567589990292,573.1151025882657,584.1099169429842,574.9466857910156,43.7672119140625,0
high,14,N_test,100,3370948.815,211826.04213916117,21182.604213916118,3328917.932641648,3412979.6973583517,3357100.5,192759.1875,0
high,14,N_iso,100,532.8932119750976,20.928774207579774,2.0928774207579774,528.7404891193999,537.0459348307954,530.913330078125,31.729843139648438,0
