scenario,window,n_runs,bootstrap_seed,bootstrap_repetitions,legacy_ensemble_rmse,bootstrap_ci_low,bootstrap_ci_high,bootstrap_se
high,3,100,20260915,5000,19.718520893726144,19.636757527518142,19.82756474699768,0.04920930169477695
high,7,100,20260915,5000,13.05086543669162,13.002369800013003,13.145745391308422,0.036905773898890534
high,14,100,20260915,5000,13.359569977899024,13.301721606504996,13.476971843847439,0.04446595433957409
high,21,100,20260915,5000,13.781991713008733,13.72640875405548,13.90166099778852,0.04413804685490223
low,3,100,20260915,5000,17.4236866616281,17.17935110078043,17.92260348992336,0.18670336903534007
low,7,100,20260915,5000,20.042685825640653,19.82172530836847,20.50145505992968,0.1712697913593493
low,14,100,20260915,5000,20.00967725776753,19.865028382324905,20.348870987053644,0.12272937198590059
low,21,100,20260915,5000,19.75481221391581,19.579401876787315,20.1799400511929,0.15259643725514954
