scenario,window,reference_window,metric,n,mean_difference,sample_sd,ci_low,ci_high
high,3,7,rmse_global_run,200,1.88855702525171,4.88426054543057,1.2075036254936928,2.5696104250097274
high,3,7,rmse_local_day2_run,200,0.0015098129630992958,0.00041655728186238924,0.0014517288886795252,0.0015678970375190664
high,3,7,C_I,200,74.88371383666993,182.3855688848844,49.45216476174225,100.3152629115976
high,3,7,N_test,200,752560.84,682511.3609143235,657392.5584555119,847729.121544488
high,3,7,N_iso,200,44.32311965942383,103.2597627677076,29.924745158918128,58.721494159929534
high,3,7,C_Q,200,9451.33365234375,8524.793395482096,8262.650233384993,10640.017071302507
high,3,7,score,200,1.1316772540499431,0.9586997355764689,0.9979977117347189,1.2653567963651673
high,14,7,rmse_global_run,200,-0.21902516611603445,2.578644533974985,-0.5785871940414458,0.14053686180937686
high,14,7,rmse_local_day2_run,200,0.0017198000237381667,0.0019049186646915512,0.0014541812425975067,0.001985418804878827
high,14,7,C_I,200,5.4110188293457036,21.588199072607054,2.400795227165653,8.421242431525755
high,14,7,N_test,200,-56134.0575,343236.5939109553,-103994.41364400476,-8273.70135599524
high,14,7,N_iso,200,2.029844818115233,12.588594165913646,0.2745115849423423,3.785178051288124
high,14,7,C_Q,200,-699.6461328125,4287.541940383298,-1297.494054302879,-101.798211322121
high,14,7,score,200,-0.04221794399829835,0.370014241113225,-0.0938121320079451,0.0093762440113484
high,21,7,rmse_global_run,200,0.6775074077196165,2.1180125159040264,0.38217516422659303,0.9728396512126399
high,21,7,rmse_local_day2_run,200,8.39292075991309e-05,0.00022576511198116268,5.244888511605463e-05,0.00011540953008220715
high,21,7,C_I,200,-7.078291931152344,13.150857113560429,-8.91202620138929,-5.244557660915397
high,21,7,N_test,200,102207.625,253707.1302261214,66831.11263417208,137584.13736582792
high,21,7,N_iso,200,-3.896920776367186,9.175376944932047,-5.176320514420355,-2.617521038314017
high,21,7,C_Q,200,1273.69822265625,3171.8871307066593,831.4154054471121,1715.9810398653879
high,21,7,score,200,0.1144174691665414,0.30844532290580906,0.07140835164495712,0.15742658668812567
