scenario,anchor_passed,paper_rmse,paper_C_I,paper_N_test,paper_N_iso,paper_C_Q,paper_Score,observed_rmse,observed_C_I,observed_N_test,observed_N_iso,observed_C_Q,observed_Score
high,True,13.050865,590.249023,3236432.25,539.533813,40994.933594,4.635851,13.05086543669162,590.2490655517578,3236432.1975,539.533837890625,40994.93640625,4.635851614676065
low,True,20.042685,381.07727,2941041.75,304.498505,37067.519531,4.145356,20.042685825640653,381.07727478027346,2941041.79,304.498525390625,37067.52103515625,4.1453561743704395
